column_name,description,type,example
country,Country or territory name,string,Sudan
iso3,ISO3 country code or territory code,string,SDN
region,Analytical region,string,Africa
year,Reference year for the row,integer,2025
acute_food_insecurity_m,Estimated people facing high acute food insecurity in millions,float,24.6
acute_food_insecurity_pct,Share of analyzed/reference population in high acute food insecurity,float,51
ipc_ch_phase5_population_m,Population in IPC/CH Phase 5 catastrophe/famine in millions where available,float,0.76
child_malnutrition_risk_1_10,Analyst-coded child malnutrition risk intensity based on source signals,integer,10
conflict_driver_1_10,Analyst-coded conflict/insecurity driver intensity,integer,10
economic_driver_1_10,Analyst-coded economic/food affordability stress intensity,integer,9
climate_driver_1_10,Analyst-coded climate/agriculture shock intensity,integer,7
displacement_driver_1_10,Analyst-coded displacement pressure intensity,integer,10
access_constraint_1_10,Analyst-coded humanitarian access constraint intensity,integer,10
funding_gap_risk_1_10,Analyst-coded humanitarian funding gap risk,integer,9
data_confidence,Confidence level for the row based on source specificity,string,High
primary_driver,Main crisis driver,string,Conflict/displacement/access
source_url,Primary source URL,string,https://www.ipcinfo.org/
source_note,Short note explaining source basis,string,IPC reports...
risk_score,Weighted model score generated by the pipeline,float,89.2
priority_level,Priority category generated from risk score,string,Critical
recommended_intervention,Dominant recommended response based on driver profile,string,Emergency food assistance...
