country,iso3,region,year,acute_food_insecurity_m,acute_food_insecurity_pct,ipc_ch_phase5_population_m,child_malnutrition_risk_1_10,conflict_driver_1_10,economic_driver_1_10,climate_driver_1_10,displacement_driver_1_10,access_constraint_1_10,funding_gap_risk_1_10,data_confidence,primary_driver,source_url,source_note,acute_burden_norm,acute_prevalence_norm,phase5_norm,child_malnutrition_norm,conflict_norm,economic_norm,climate_norm,displacement_norm,access_norm,funding_gap_norm,risk_score,priority_level,recommended_intervention,people_in_immediate_need_m
Sudan,SDN,Africa,2025,24.6,51,0.76,10,10,9,7,10,10,9,High,Conflict/displacement/access,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159433,IPC reports half the population 24.6M in high acute food insecurity and famine detected/projected in several areas.,0.7952218430034129,0.4842105263157895,1.0,1.0,1.0,0.9,0.7,1.0,1.0,0.9,85.4,Critical,Negotiated humanitarian access + emergency food assistance + local partner delivery,12.55
Gaza Strip,PSE,Middle East,2025,2.1,100,0.5,10,10,9,4,10,10,9,High,Conflict/access restrictions,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update reports Gaza at 100% high acute food insecurity and over half a million facing starvation in July 2025.,0.027303754266211604,1.0,0.6578947368421053,1.0,1.0,0.9,0.4,1.0,1.0,0.9,71.8,Very High,Negotiated humanitarian access + emergency food assistance + local partner delivery,2.1
Yemen,YEM,Middle East,2025,18.1,52,0.02,9,9,10,6,8,8,9,High,Conflict/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists Yemen among worst affected by share and among top five by number in 2025.,0.5733788395904437,0.49473684210526314,0.02631578947368421,0.9,0.9,1.0,0.6,0.8,0.8,0.9,64.9,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,9.41
Nigeria,NGA,Africa,2025,30.6,14,0.0,8,9,9,6,8,6,8,High,Conflict/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists Nigeria among five worst-hit by total people experiencing high acute food insecurity in 2025.,1.0,0.09473684210526316,0.0,0.8,0.9,0.9,0.6,0.8,0.6,0.8,63.8,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,4.28
Democratic Republic of the Congo,COD,Africa,2025,27.7,25,0.0,8,9,8,6,9,7,8,High,Conflict/displacement,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists DRC among five worst-hit by total people in high acute food insecurity in 2025.,0.9010238907849829,0.21052631578947367,0.0,0.8,0.9,0.8,0.6,0.9,0.7,0.8,63.8,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,6.92
South Sudan,SSD,Africa,2026,7.8,57,0.05,10,9,9,8,9,8,8,Medium-High,Conflict/economic shock,https://www.devdiscourse.com/article/international/3933483-south-sudan-on-the-edge-78-million-face-acute-hunger-as-famine-risk-looms,Reported 7.8M facing high acute food insecurity and famine risk in 2026.,0.22184300341296928,0.5473684210526316,0.06578947368421052,1.0,0.9,0.9,0.8,0.9,0.8,0.8,61.4,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,4.45
Syrian Arab Republic,SYR,Middle East,2024,12.9,55,0.0,8,8,10,5,7,7,8,Medium-High,Conflict/economic shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Syrian Arab Republic among countries with 9M to 22M people affected and at least one-third of population affected.,0.39590443686006827,0.5263157894736842,0.0,0.8,0.8,1.0,0.5,0.7,0.7,0.8,57.0,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,7.1
Myanmar,MMR,Asia,2025,16.7,31,0.0,8,9,8,6,8,7,8,High,Conflict/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists Myanmar among worst five by total people experiencing high acute food insecurity in 2025.,0.5255972696245733,0.2736842105263158,0.0,0.8,0.9,0.8,0.6,0.8,0.7,0.8,56.6,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,5.18
Haiti,HTI,Latin America & Caribbean,2025,5.7,51,0.01,9,9,10,6,8,8,9,High,Insecurity/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update reports Haiti among five highest shares of high acute food insecurity.,0.15017064846416384,0.4842105263157895,0.013157894736842105,0.9,0.9,1.0,0.6,0.8,0.8,0.9,56.1,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,2.91
Afghanistan,AFG,Asia,2024,14.2,33,0.0,8,6,9,8,6,6,8,Medium-High,Economic/climate shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Afghanistan among countries with at least one-third of population in high acute food insecurity.,0.44027303754266206,0.29473684210526313,0.0,0.8,0.6,0.9,0.8,0.6,0.6,0.8,52.0,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,4.69
